"","Gene","padj"
"380","ST8SIA4",0.000100787705461294
"262","TRBV20-1",0.000104008238732368
"394","TYMP",0.000104211311434042
"242","CXCL9",0.00010995432445119
"291","IL33",0.000110160763829095
"21","PHF11",0.000110309102360208
"196","TUBA4A",0.000111636112878992
"438","TRAV12-1",0.000113919428621531
"483","MZB1",0.00011562858021864
"455","GRAP2",0.000117721077729519
"170","ICAM3",0.000118222885739487
"109","IGKV1D-39",0.000124485232012062
"496","KIR3DL2",0.000127331878758318
"219","CDH8",0.000131660056242024
"368","ADGRG5",0.000131660056242024
"420","HCN1",0.000131732656133466
"46","ARHGDIB",0.000133465302324526
"153","PIM2",0.000133465302324526
"102","SLC35F3",0.000137227331929717
"207","TRAT1",0.00014010459929736
"486","DNAH8",0.000143550522139276
"405","REC8",0.000143783702760322
"254","HVCN1",0.00014403212778579
"263","IRF8",0.000149203885319566
"96","PRKCB",0.000151071090824823
"233","LYZ",0.000154373434407478
"34","APOBEC3D",0.000155466375642849
"38","FLVCR2",0.000157628389885615
"87","WDFY4",0.000157927819912961
"85","FLG2",0.00015867830170681
"457","LRFN5",0.000161829785156269
"341","IGKV1-33",0.000163912113440281
"127","TYROBP",0.000164990060950436
"183","ATP2A3",0.000172843388831606
"354","IL9R",0.000178332842773372
"412","ERAP1",0.000178845673257103
"232","TRDV1",0.00018537458775406
"377","LYN",0.000185974346521069
"297","HRC",0.000186547218601324
"214","TRBV19",0.000188808745390103
"430","PTPRCAP",0.000191031394011578
"385","NFKBIA",0.000191650867247112
"337","PTTG2",0.000194732903155316
"137","PTPRE",0.000195870763319385
"16","CD180",0.000199752892152987
"357","UBA7",0.000202099064897307
"168","PLEKHS1",0.00020287453348123
"298","IRF2",0.000204859888471467
"119","SLAMF1",0.000206663158193338
"460","ACSL6",0.00021785500618615
"424","TRIM69",0.000220431493201327
"418","SELL",0.000221724092794208
"442","FCRL6",0.000221724092794208
"43","TRBV3-1",0.00022433422629313
"227","TRIM21",0.00022433422629313
"390","SYTL3",0.00022433422629313
"75","TOX",0.000225331281031965
"175","KIF21B",0.000225331281031965
"15","FLT3LG",0.000225618472788881
"500","TRAV29DV5",0.000228259848574756
"320","IL15RA",0.000230540429542897
"333","CCDC88C",0.000231529242175683
"391","IGLV3-27",0.000231529242175683
"199","IGLV2-14",0.000232855883401242
"14","TMSB4X",0.000236659903269082
"154","PSME1",0.000238091765192684
"142","IGHGP",0.000248813819514369
"268","IFI27",0.00025232842518622
"374","PLCG2",0.000252977318484286
"195","CCR8",0.000255743811179253
"197","LY9",0.000256417405473574
"300","CD5",0.000256967616099659
"427","SPN",0.000261330062465601
"447","LST1",0.000261330062465601
"516","STAP1",0.000266224076455072
"18","CLEC4A",0.000275923736661086
"192","HERPUD1",0.000277682590646193
"504","IGLV7-46",0.000283895484201311
"378","INSL3",0.000285913699396067
"469","ARHGAP45",0.000289897248467921
"322","TRAV8-6",0.000298848319785917
"485","GPR18",0.000299266641725533
"211","RSAD2",0.000302447758107245
"285","POU2AF1",0.000310734311037412
"32","WAS",0.000311432023450439
"261","TRPM2",0.000311432023450439
"281","IGKV1D-13",0.000313696020699936
"107","ABCB1",0.000319339099176033
"432","CLEC4C",0.000327120979100626
"116","PLA2G2D",0.000336703970794229
"306","FIGNL2",0.000337719818249017
"259","BCL11B",0.000342633608266912
"257","IGHV3-11",0.000349405871734654
"305","IL10",0.000357676009242723
"24","TRBV6-5",0.000358276340244895
"22","TMC8",0.000373876795536229
"360","MCUB",0.000376229262473083
