"","Gene","padj"
"1703","RPLP0",0.000100021452611245
"1859","BMI1",0.000100021452611245
"568","HOXA13",0.000100768897609777
"2064","CDH13",0.000100768897609777
"144","ERGIC3",0.000100833203913263
"2077","ILRUN",0.000101065951036541
"1887","CPZ",0.000101284504448691
"558","IARS2",0.000102064996698815
"477","MRFAP1L1",0.0001025182462881
"478","OLFML3",0.0001025182462881
"1714","BTN3A2",0.00010283099327462
"1932","PSMB8",0.000104328557506245
"506","RARS1",0.000105398535570756
"352","GGPS1",0.000105416277946048
"1744","HLA-DQB2",0.000105719713218316
"1440","ROBO4",0.000105819614927887
"1155","TRBV5-4",0.000105874425657626
"1333","KRT9",0.00010592634007382
"2007","MYD88",0.00010621169639847
"445","QARS1",0.000106249696828607
"1649","FBL",0.000106817512844
"1409","C1QTNF1",0.000107167704225732
"1517","WASHC2A",0.000107733060969303
"1249","BCAS1",0.000107936929317935
"1767","POLB",0.000108134949817222
"182","CAVIN1",0.000108287003634288
"798","TRIM68",0.000108287003634288
"1906","ATP5F1E",0.000110332945704634
"11","OGFR",0.000110714598981407
"1154","HEATR1",0.000112269955920803
"79","AKR1B1",0.000112459646829797
"666","FAM156A",0.000112459646829797
"780","HPSE",0.000112797668843355
"1018","NBPF12",0.000112886017754492
"1220","MFSD1",0.000113246256660806
"1725","LYPD3",0.000113674901765239
"442","RAPGEFL1",0.000113985828565311
"1876","SF3B4",0.000114358351723877
"1605","SLC5A1",0.000114720980996907
"1874","DUOX2",0.000114900464434654
"1134","EEF1B2",0.000115215931625007
"1837","ISM1",0.000115566062770127
"1149","HTRA1",0.000115770787351176
"2109","PRSS36",0.000116367438468894
"346","AC117382.1",0.000116971899809568
"860","TP53RK",0.000116971899809568
"1306","PSMB4",0.000117871214568299
"105","ARHGAP5",0.000119800438893748
"1253","PRPH",0.000120206444562124
"508","FAM107B",0.000120706884364494
"889","IGHV3-23",0.000120796601315918
"1611","PYGM",0.000122314060795983
"159","OSR1",0.000122351584752157
"250","JUN",0.000122949377001648
"1322","EIF3M",0.000122949377001648
"886","BNIPL",0.000124534679750474
"1663","AL450405.1",0.000124675269680456
"372","GBP1P1",0.000125436844757275
"464","ARG1",0.000125624413258953
"956","SIGLEC14",0.000125624413258953
"1248","GUCY1A1",0.000125858906060187
"173","NEFM",0.000126126617487874
"1794","EXPH5",0.000126644196617971
"1373","VAMP8",0.000127716424094223
"1571","DEGS2",0.000128030683042285
"1359","TCHH",0.000128589507021283
"2018","AC131206.1",0.000129282981344851
"1095","WNT7B",0.00012985562888559
"1558","TENM1",0.000129986111016298
"1819","TEP1",0.000130755788480864
"1436","RPL21",0.000131094159670016
"1785","PIM1",0.000132463935046655
"753","COL8A1",0.000132719167714617
